#,Workflow Phase,Item,Category,Primary “Layer”,Language / Runtime,Short description / role
1,Frontend / Backend,Next.js,Full‑stack React framework,Front‑end & Back‑end (SSR/SSG),JavaScript / TypeScript (Node.js),"Provides file‑system routing, server‑side rendering, static generation, API routes and automatic optimisation for React apps."
2,Frontend,React,UI library,Front‑end,JavaScript / TypeScript,"Declarative component model; the basis for all UI pieces (Hero, dark‑mode toggle, etc.)."
3,Frontend,Tailwind CSS,Utility‑first CSS framework,Front‑end (styling),CSS (generated by PostCSS),"Supplies low‑level utility classes (bg-gray-900, flex, dark:) that you compose directly in markup."
4,Frontend,Hero component,Reusable UI component (React),Front‑end,JavaScript / TypeScript (React),"A large banner that accepts title, subtitle, and CTA props; can also fetch and display metrics."
5,Frontend,Dark‑mode toggle,UI pattern / small React logic,Front‑end,JavaScript (React),"Adds/removes a class=""dark"" on <html> (or <body>) to switch Tailwind’s dark: variants."
6,Backend,FastAPI,Web framework (Python),Back‑end,Python (asyncio),High‑performance API framework that auto‑generates OpenAPI docs and validates request data via type hints.
7,Backend,SQLite,Embedded relational database,Back‑end (Data store),SQL (file‑based),"Zero‑config, single‑file DB; perfect for prototyping or low‑traffic services."
8,Backend,/api/metrics route,REST endpoint (FastAPI),Back‑end (API),Python (FastAPI),"GET /api/metrics returns JSON {visits, signups, revenue} pulled from SQLite."
9,Shared Data,Metrics,Business‑logic data,Shared (API ↔ UI),JSON,Numbers that represent site activity; produced by the back‑end and consumed by the front‑end.
10,Frontend,Fetching,HTTP client (browser fetch or axios),Front‑end,JavaScript,Performs the GET request to /api/metrics and parses the JSON response.
11,Frontend,useEffect,React Hook,Front‑end,JavaScript (React),"Runs side‑effects (e.g., data fetching) after a component mounts or when dependencies change."
12,Frontend,useState,React Hook,Front‑end,JavaScript (React),"Holds mutable component state (e.g., the fetched metrics) and triggers re‑render on change."
13,Backend,CORS,Security protocol,Back‑end (API),HTTP headers,Allows a browser page on a different origin to call the API; not needed when both live under the same domain.
14,DevOps,Vercel,Hosting / Serverless platform,Deploy / DevOps,Node.js (build) + Edge runtime,"Detects a Next.js project, builds it, and serves via a global CDN; API routes become serverless functions."
15,DevOps,vercel.json,Configuration file (JSON),Deploy / DevOps,JSON,"Customises Vercel builds, redirects, environment variables, and function behaviour."
16,DevOps,GitHub,Git hosting / source‑code repository,DevOps (source control),Git,Central repo that Vercel watches; pushes trigger preview or production builds.
17,DevOps,Git,Version‑control system,DevOps (source control),CLI / GUI,"Tracks changes, branches, merges, and pull‑requests."
18,DevOps,npm,Package manager,DevOps / Build tool,Node.js,Installs JavaScript dependencies (npm install) and runs scripts (npm run dev).
19,DevOps,npx,Package runner,DevOps / Build tool,Node.js,"Executes binaries from npm packages without a global install (e.g., npx create-next-app)."
20,Backend,Node.js,JavaScript runtime,DevOps / Back‑end (build),JavaScript (V8),"Executes the build scripts (next build, tailwindcss) and powers Vercel’s serverless functions."
21,Frontend / Build,TypeScript,Superset of JavaScript with static typing,Front‑end & Build tool,TypeScript → JavaScript,Adds compile‑time type safety; optional but common in modern Next.js projects.
22,Frontend / Build,JavaScript,Programming language,Front‑end & Build tool,JS (ECMAScript),"Core language for React, Next.js, and most tooling."
23,Build Tool,PostCSS,CSS processing tool,Build tool (styling),JavaScript,Runs Tailwind’s transformer to generate the final CSS file.
24,Build Tool,Autoprefixer,PostCSS plugin,Build tool (styling),JavaScript,Adds vendor prefixes for broader browser compatibility.
25,Backend,Swagger / OpenAPI UI,API documentation generator,Back‑end (dev),JSON / HTML,Auto‑generated UI (/docs) that describes FastAPI endpoints.
26,DevOps,Environment variables,Configuration mechanism,Deploy / DevOps,OS / Vercel UI,"Store secrets (e.g., DB path, API keys) without hard‑coding them."
27,DevOps,GitHub Actions (optional),CI/CD workflow engine,Deploy / DevOps,YAML + Docker,"Can run linting, tests, and custom build steps before Vercel deploys."
28,DevOps,Docker (optional),Container runtime,Deploy (advanced),Linux containers,Useful if you want to run FastAPI locally or in a custom cloud provider instead of Vercel.
29,Backend,uvicorn,ASGI server for FastAPI,Back‑end (runtime),Python (asyncio),Serves the FastAPI app locally (uvicorn main:app).
30,Backend,Pydantic,Data validation library,Back‑end (model),Python,Used by FastAPI to define request/response schemas (BaseModel).
31,DevOps,GitHub Pull Request,Collaboration workflow,DevOps,GitHub UI,Code review mechanism that triggers preview deployments on Vercel.
32,DevOps,Vercel Preview Deployments,Temporary live URLs for PRs,Deploy,Vercel platform,Each PR gets its own unique URL (<branch>—<hash>.vercel.app).
33,DevOps,Vercel Production Deployment,Live site URL (yourdomain.com),Deploy,Vercel platform,Triggered when code merges to the production branch (often main).
34,Frontend,Static Site Generation (SSG),Rendering strategy,Front‑end (Next.js),Node.js (build time),Generates HTML at build time; ideal for marketing pages like the Hero.
35,Frontend,Server‑Side Rendering (SSR),Rendering strategy,Front‑end (Next.js),Node.js (runtime),Generates HTML on each request; useful for dynamic data like metrics.
36,Backend,API Routes (pages/api/*),Serverless functions (Next.js),Back‑end (within Next),Node.js (Vercel Edge),Alternative place to host simple APIs; not used here because FastAPI handles metrics.
37,DevOps,Git Branch,Version‑control concept,DevOps,Git,"Isolates work (e.g., feature/hero, bugfix/metrics)."
38,DevOps,README / Documentation,Project metadata,DevOps,Markdown,"Explains setup, scripts, and deployment steps for future contributors."
39,DevOps,"Linting (ESLint, Prettier)",Code quality tools,DevOps / Build tool,JavaScript,Enforces style and catches bugs before commit.
40,Testing,"Testing (Jest, React Testing Library)",Automated tests,DevOps,JavaScript / Python,Guarantees that components and API endpoints work as expected.
